generation,best_fitness,avg_fitness,best_value,best_individual
138,0.23,0.22,694,100101111100000000100100100010
139,0.23,0.23,694,100101111100000000100100100010
140,0.23,0.23,694,100101111100000000100100100010
141,0.23,0.23,694,100101111100000000100100100010
142,0.23,0.23,694,100101111100000000100100100010
143,0.23,0.23,694,100101111100000000100100100010
144,0.23,0.23,694,100101111100000000100100100010
145,0.23,0.23,694,100101111100000000100100100010
146,0.23,0.23,694,100101111100000000100100100010
147,0.23,0.23,694,100101111100000000100100100010
148,0.23,0.23,694,100101111100000000100100100010
149,0.23,0.23,694,100101111100000000100100100010
150,0.23,0.23,694,100101111100000000100100100010
151,0.23,0.23,694,100101111100000000100100100010
152,0.23,0.23,694,100101111100000000100100100010
153,0.23,0.23,694,100101111100000000100100100010
154,0.23,0.23,694,100101111100000000100100100010
155,0.23,0.22,694,100101111100000000100100100010
156,0.23,0.22,694,100101111100000000100100100010
157,0.23,0.22,694,100101111100000000100100100010
158,0.23,0.22,697,101101111100000000000100100010
159,0.23,0.22,697,101101111100000000000100100010
160,0.23,0.22,697,101101111100000000000100100010
161,0.23,0.21,697,101101111100000000000100100010
162,0.23,0.21,697,101101111100000000000100100010
163,0.23,0.22,697,101101111100000000000100100010
164,0.23,0.22,697,101101111100000000000100100010
165,0.23,0.23,697,101101111100000000000100100010
166,0.23,0.23,697,101101111100000000000100100010
167,0.23,0.23,697,101101111100000000000100100010
168,0.23,0.23,697,101101111100000000000100100010
169,0.23,0.23,697,101101111100000000000100100010
170,0.23,0.23,697,101101111100000000000100100010
171,0.23,0.23,697,101101111100000000000100100010
172,0.23,0.23,697,101101111100000000000100100010
173,0.23,0.23,697,101101111100000000000100100010
174,0.23,0.23,697,101101111100000000000100100010
175,0.23,0.23,697,101101111100000000000100100010
176,0.23,0.23,697,101101111100000000000100100010
177,0.23,0.23,697,101101111100000000000100100010
178,0.23,0.23,697,101101111100000000000100100010
179,0.23,0.23,697,101101111100000000000100100010
180,0.23,0.23,697,101101111100000000000100100010
181,0.23,0.23,697,101101111100000000000100100010
182,0.23,0.23,697,101101111100000000000100100010
183,0.23,0.23,697,101101111100000000000100100010
184,0.23,0.23,697,101101111100000000000100100010
185,0.23,0.23,697,101101111100000000000100100010
186,0.23,0.23,697,101101111100000000000100100010
187,0.23,0.23,697,101101111100000000000100100010
188,0.23,0.23,697,101101111100000000000100100010
189,0.23,0.23,697,101101111100000000000100100010
190,0.23,0.22,697,101101111100000000000100100010
191,0.23,0.22,697,101101111100000000000100100010
192,0.23,0.23,697,101101111100000000000100100010
193,0.23,0.23,697,101101111100000000000100100010
194,0.23,0.23,697,101101111100000000000100100010
195,0.23,0.23,697,101101111100000000000100100010
196,0.23,0.23,697,101101111100000000000100100010
197,0.23,0.23,697,101101111100000000000100100010
198,0.23,0.23,697,101101111100000000000100100010
199,0.23,0.23,697,101101111100000000000100100010
200,0.23,0.23,697,101101111100000000000100100010
201,0.23,0.23,697,101101111100000000000100100010
202,0.23,0.23,697,101101111100000000000100100010
203,0.23,0.23,697,101101111100000000000100100010
204,0.23,0.22,697,101101111100000000000100100010
205,0.23,0.23,697,101101111100000000000100100010
206,0.23,0.23,697,101101111100000000000100100010
207,0.23,0.23,697,101101111100000000000100100010
208,0.23,0.23,697,101101111100000000000100100010
209,0.23,0.23,697,101101111100000000000100100010
210,0.23,0.22,697,101101111100000000000100100010
211,0.23,0.23,697,101101111100000000000100100010
212,0.23,0.23,697,101101111100000000000100100010
213,0.23,0.23,697,101101111100000000000100100010
214,0.23,0.23,697,101101111100000000000100100010
215,0.23,0.23,697,101101111100000000000100100010
216,0.23,0.23,697,101101111100000000000100100010
217,0.23,0.23,697,101101111100000000000100100010
218,0.23,0.23,697,101101111100000000000100100010
219,0.23,0.23,697,101101111100000000000100100010
220,0.23,0.23,697,101101111100000000000100100010
221,0.23,0.23,697,101101111100000000000100100010
222,0.23,0.23,697,101101111100000000000100100010
223,0.23,0.23,697,101101111100000000000100100010
224,0.23,0.23,697,101101111100000000000100100010
225,0.23,0.23,697,101101111100000000000100100010
226,0.23,0.23,697,101101111100000000000100100010
227,0.23,0.23,697,101101111100000000000100100010
228,0.23,0.23,697,101101111100000000000100100010
229,0.23,0.23,697,101101111100000000000100100010
230,0.23,0.23,697,101101111100000000000100100010
231,0.23,0.23,697,101101111100000000000100100010
232,0.23,0.23,697,101101111100000000000100100010
233,0.23,0.23,697,101101111100000000000100100010
234,0.23,0.23,697,101101111100000000000100100010
235,0.23,0.23,697,101101111100000000000100100010
236,0.23,0.23,697,101101111100000000000100100010
237,0.23,0.23,697,101101111100000000000100100010
238,0.23,0.23,697,101101111100000000000100100010
239,0.23,0.23,697,101101111100000000000100100010
240,0.23,0.23,697,101101111100000000000100100010
241,0.23,0.23,697,101101111100000000000100100010
242,0.23,0.23,697,101101111100000000000100100010
243,0.23,0.23,697,101101111100000000000100100010
244,0.23,0.23,697,101101111100000000000100100010
245,0.23,0.23,697,101101111100000000000100100010
246,0.23,0.23,697,101101111100000000000100100010
247,0.23,0.23,697,101101111100000000000100100010
248,0.23,0.23,697,101101111100000000000100100010
249,0.23,0.23,697,101101111100000000000100100010
250,0.23,0.23,697,101101111100000000000100100010
251,0.23,0.23,697,101101111100000000000100100010
252,0.23,0.23,697,101101111100000000000100100010
253,0.23,0.22,697,101101111100000000000100100010
254,0.23,0.22,697,101101111100000000000100100010
255,0.23,0.22,697,101101111100000000000100100010
256,0.23,0.23,697,101101111100000000000100100010
257,0.23,0.23,697,101101111100000000000100100010
258,0.23,0.23,697,101101111100000000000100100010
259,0.23,0.23,697,101101111100000000000100100010
260,0.23,0.23,697,101101111100000000000100100010
261,0.23,0.23,697,101101111100000000000100100010
262,0.23,0.23,697,101101111100000000000100100010
263,0.23,0.23,697,101101111100000000000100100010
264,0.23,0.23,697,101101111100000000000100100010
265,0.23,0.23,697,101101111100000000000100100010
266,0.23,0.23,697,101101111100000000000100100010
267,0.23,0.23,697,101101111100000000000100100010
268,0.23,0.22,697,101101111100000000000100100010
269,0.23,0.22,697,101101111100000000000100100010
270,0.23,0.23,697,101101111100000000000100100010
271,0.23,0.23,697,101101111100000000000100100010
272,0.23,0.23,697,101101111100000000000100100010
273,0.23,0.23,697,101101111100000000000100100010
274,0.23,0.23,697,101101111100000000000100100010
275,0.23,0.23,697,101101111100000000000100100010
276,0.23,0.23,697,101101111100000000000100100010
277,0.23,0.23,697,101101111100000000000100100010
278,0.23,0.23,697,101101111100000000000100100010
279,0.23,0.23,697,101101111100000000000100100010
280,0.23,0.23,697,101101111100000000000100100010
281,0.23,0.23,697,101101111100000000000100100010
282,0.23,0.23,697,101101111100000000000100100010
283,0.23,0.23,697,101101111100000000000100100010
284,0.23,0.23,697,101101111100000000000100100010
285,0.23,0.23,697,101101111100000000000100100010
286,0.23,0.23,697,101101111100000000000100100010
287,0.23,0.23,697,101101111100000000000100100010
288,0.23,0.23,697,101101111100000000000100100010
289,0.23,0.22,697,101101111100000000000100100010
290,0.23,0.23,697,101101111100000000000100100010
291,0.23,0.23,697,101101111100000000000100100010
292,0.23,0.23,697,101101111100000000000100100010
293,0.23,0.23,697,101101111100000000000100100010
294,0.23,0.23,697,101101111100000000000100100010
295,0.23,0.23,697,101101111100000000000100100010
296,0.23,0.23,697,101101111100000000000100100010
297,0.23,0.23,697,101101111100000000000100100010
298,0.23,0.23,697,101101111100000000000100100010
299,0.23,0.23,697,101101111100000000000100100010
300,0.23,0.23,697,101101111100000000000100100010
301,0.23,0.23,697,101101111100000000000100100010
302,0.23,0.23,697,101101111100000000000100100010
303,0.23,0.23,697,101101111100000000000100100010
304,0.23,0.23,697,101101111100000000000100100010
305,0.23,0.23,697,101101111100000000000100100010
306,0.23,0.23,697,101101111100000000000100100010
307,0.23,0.23,697,101101111100000000000100100010
308,0.23,0.22,697,101101111100000000000100100010
309,0.23,0.23,697,101101111100000000000100100010
310,0.23,0.23,697,101101111100000000000100100010
311,0.23,0.23,697,101101111100000000000100100010
312,0.23,0.22,697,101101111100000000000100100010
313,0.23,0.23,697,101101111100000000000100100010
314,0.23,0.23,697,101101111100000000000100100010
315,0.23,0.23,697,101101111100000000000100100010
316,0.23,0.23,697,101101111100000000000100100010
317,0.23,0.23,697,101101111100000000000100100010
318,0.23,0.23,697,101101111100000000000100100010
319,0.23,0.23,697,101101111100000000000100100010
320,0.23,0.23,697,101101111100000000000100100010
321,0.23,0.23,697,101101111100000000000100100010
322,0.23,0.23,697,101101111100000000000100100010
323,0.23,0.23,697,101101111100000000000100100010
324,0.23,0.23,697,101101111100000000000100100010
325,0.23,0.23,697,101101111100000000000100100010
326,0.23,0.23,697,101101111100000000000100100010
327,0.23,0.23,697,101101111100000000000100100010
328,0.23,0.23,697,101101111100000000000100100010
329,0.23,0.23,697,101101111100000000000100100010
330,0.23,0.23,697,101101111100000000000100100010
331,0.23,0.23,697,101101111100000000000100100010
332,0.23,0.23,697,101101111100000000000100100010
333,0.23,0.23,697,101101111100000000000100100010
334,0.23,0.23,697,101101111100000000000100100010
335,0.23,0.23,697,101101111100000000000100100010
336,0.23,0.23,697,101101111100000000000100100010
337,0.23,0.23,697,101101111100000000000100100010
338,0.23,0.23,697,101101111100000000000100100010
339,0.23,0.23,697,101101111100000000000100100010
340,0.23,0.23,697,101101111100000000000100100010
341,0.23,0.23,697,101101111100000000000100100010
342,0.23,0.23,697,101101111100000000000100100010
343,0.23,0.23,697,101101111100000000000100100010
344,0.23,0.23,697,101101111100000000000100100010
345,0.23,0.23,697,101101111100000000000100100010
346,0.23,0.23,697,101101111100000000000100100010
347,0.23,0.23,697,101101111100000000000100100010
348,0.23,0.23,697,101101111100000000000100100010
349,0.23,0.23,697,101101111100000000000100100010
350,0.23,0.23,697,101101111100000000000100100010
351,0.23,0.23,697,101101111100000000000100100010
352,0.23,0.23,697,101101111100000000000100100010
353,0.23,0.23,697,101101111100000000000100100010
354,0.23,0.23,697,101101111100000000000100100010
355,0.23,0.23,697,101101111100000000000100100010
356,0.23,0.23,697,101101111100000000000100100010
357,0.23,0.23,697,101101111100000000000100100010
358,0.23,0.23,697,101101111100000000000100100010
359,0.23,0.23,697,101101111100000000000100100010
360,0.23,0.23,697,101101111100000000000100100010
361,0.23,0.23,697,101101111100000000000100100010
362,0.23,0.22,697,101101111100000000000100100010
363,0.23,0.23,697,101101111100000000000100100010
364,0.23,0.22,697,101101111100000000000100100010
365,0.23,0.22,697,101101111100000000000100100010
366,0.23,0.23,697,101101111100000000000100100010
367,0.23,0.23,697,101101111100000000000100100010
